Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Frankrike_hourly,500,24,0.00025,16,76.024734,5.6036963,8.71921639237554,233821230.0,14.733295,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,16,106.876,5.964231,10.338084902470264,5.425727,4.76672,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,32,206.60464,10.709769,14.37374845944476,46.18921,29.756216,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,32,27.325169,3.417752,5.227348143142863,209287860.0,75.05238,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,32,2.5765164,1.140798,1.6051530736496136,2.6625574,2.6405876,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,32,71.63654,4.7185435,8.463837384657493,242753600.0,12.61589,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,32,124.63701,6.848962,11.164094619224265,6.164092,5.407368,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,16,210.07796,10.4674425,14.49406627393846,48.029457,29.134691,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,24.392147,3.1997998,4.938840659933157,229973860.0,74.45376,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,2.2346241,1.0252277,1.4948659295786901,2.384093,2.4114366,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,65.77231,4.088025,8.110012845218519,242363230.0,11.169044,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,137.59103,7.692075,11.729920457340999,6.806804,6.012059,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,32,215.94836,10.87483,14.695181668077892,47.98561,30.16827,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,25.31369,2.7615488,5.0312712295747755,179389900.0,66.885735,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,32,2.0499554,1.0137666,1.431766520086984,2.3567512,2.3905942,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,64.69222,4.175814,8.043147555230778,242916370.0,11.404417,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,98.461754,5.347969,9.922789620122701,4.940642,4.3125877,9.203986,131.01375
Volumrate_Easington_hourly,500,24,7.5e-05,16,205.69965,10.669527,14.342232950140426,45.5341,29.604223,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,7.5e-05,16,25.129696,2.8138819,5.012952811700304,184497340.0,70.65412,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,7.5e-05,16,3.2600446,1.2981975,1.8055593523164917,3.0121603,3.0845468,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,7.5e-05,16,65.88008,4.106611,8.116654555711843,247567520.0,11.23826,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,7.5e-05,16,121.010345,6.8019075,11.000470238084569,6.10781,5.3772964,9.203986,131.01375
