Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Belgia_hourly,500,24,0.0001,32,4.5601387,1.7715052,2.135448126832534,4.1124043,4.2021403,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,86.81161,5.348944,9.317274674540826,276494980.0,13.364829,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,157.51468,7.9207954,12.550485207954237,7.0704093,6.158601,9.203986,131.01375
Volumrate_Easington_hourly,500,24,7.5e-05,16,361.8416,15.551471,19.022134837329148,58.661293,40.049942,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,7.5e-05,16,34.468468,4.29883,5.870985242052848,257413230.0,89.331696,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,7.5e-05,16,4.2622485,1.6378034,2.064521376998253,3.8014386,3.8619611,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,7.5e-05,16,96.635574,6.065031,9.83033948248077,242812770.0,15.10988,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,7.5e-05,16,283.00937,12.598669,16.822882300500243,10.734856,9.4060335,9.203986,131.01375
Volumrate_Easington_hourly,500,24,7.5e-05,32,338.22076,15.211627,18.390779324437457,60.68417,39.716057,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,7.5e-05,32,39.10432,4.6721506,6.253344747103189,254979800.0,93.07916,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,7.5e-05,32,2.6268282,1.2316529,1.6207492692161087,2.864211,2.8935034,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,7.5e-05,32,74.96303,5.312449,8.65811919264811,237661230.0,13.639635,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,7.5e-05,32,172.95914,8.720208,13.151392966636296,7.6990604,6.6937284,9.203986,131.01375
Volumrate_Easington_hourly,500,24,5e-05,16,304.1291,13.941767,17.43929727240948,52.651016,36.873543,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,16,36.831375,4.5241036,6.06888582213163,187743680.0,93.76129,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,16,9.16322,2.502974,3.0270811693079214,5.807845,5.9077187,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,16,108.47259,6.715921,10.415017406872119,250787870.0,16.850342,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,16,333.4986,12.834942,18.261943932435184,11.00711,9.587193,9.203986,131.01375
Volumrate_Easington_hourly,500,24,5e-05,32,273.88034,12.866119,16.54933051746118,56.42863,34.28742,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,32,44.41042,4.8927984,6.664114304550255,256151700.0,92.81096,5.1213937,3.7500505
