Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Tyskland_hourly,500,24,0.00025,16,972.3874,25.389616,31.1831266895531,20.279676,17.723333,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,32,711.3221,22.836136,26.6706220872242,70.64138,59.602695,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,32,41.985893,5.5418205,6.479652247575615,280126800.0,102.10894,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,32,61.65823,6.5795813,7.852275455425699,15.218907,16.065657,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,32,152.8587,9.77502,12.363603989665847,213696450.0,24.313288,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,32,923.1533,25.155054,30.38343825692708,19.842215,18.32639,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,16,468.54843,18.839703,21.645979566572734,0.4789809,-0.18994534,61.102707,49.035954,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,38.40586,3.9351745,6.1972462352950695,1.6525767,-0.4642701,30725138.0,121.78023,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,30.651783,4.7192206,5.536405240722716,0.12810549,-61.313263,10.91884,11.142204,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,96.36691,7.6457667,9.816665057024045,0.2063524,-0.60371244,185431020.0,19.024345,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,714.20917,21.779364,26.724692093277124,0.20398387,-7.430891,17.383467,15.4350195,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,32,575.79736,20.221004,23.995778030337963,0.5309771,-0.46231925,67.71367,51.769127,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,31.545692,3.9353707,5.616555211501767,1.4977279,-0.2027179,63410468.0,121.11037,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,49.0969,5.852992,7.006918077153564,0.16213132,-98.8111,13.5405245,13.3215275,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,152.3321,9.424711,12.34228939637802,0.2594426,-1.5350702,231232480.0,21.012701,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,1543.9999,30.145418,39.293763855473145,0.29992092,-17.226166,23.839994,19.777264,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,64,526.9955,20.381336,22.956382193160085,0.5079774,-0.33837986,70.807106,51.858624,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,64,37.74103,4.860749,6.143372986131358,1.6382108,-0.43892264,165968500.0,103.44291,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,64,45.18271,5.6447077,6.721808442691176,0.15553425,-90.853775,13.045415,13.541046,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,64,124.30928,8.544445,11.14940717686406,0.23436749,-1.0687218,213778770.0,19.583761,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,64,1054.5006,26.248585,32.47307516007011,0.24786006,-11.4478655,20.72124,18.11561,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,16,442.1937,17.918402,21.028402104495704,0.4653152,-0.123013616,58.847153,47.172604,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,16,41.718094,4.8033557,6.458954549466215,1.7223647,-0.59055305,163765200.0,111.40582,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,16,43.948204,5.283037,6.629344163680699,0.15339474,-88.3441,12.23494,12.018345,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.005,16,107.8753,8.00488,10.386303362909574,0.21832655,-0.7952318,176121420.0,19.68889,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,16,799.32245,22.17799,28.272291182896176,0.21579637,-8.435613,17.489819,15.371286,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,32,473.98895,17.937262,21.771287344498457,0.4817537,-0.2037623,56.457474,47.245888,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,32,33.055916,4.429955,5.749427435190354,1.53316,-0.26029694,203587630.0,101.27742,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,32,34.524094,4.9828043,5.8757206900881265,0.13595684,-69.18545,11.527966,11.475345,0.70135456,43.217545
